,•  Accounting (B.S.), Bachelor’s,
,•  Actuarial Science (B.S.), Bachelor’s,
,•  Art Education (B.A.), Bachelor’s,
,•  Arts (B.A.), Bachelor’s,
,•  Biochemistry and Molecular Biology (B.S.), Bachelor’s,
,•  Biology (B.S.), Bachelor’s,
,•  Biology Laboratory Science (B.S.), Bachelor’s,
,•  Biology Secondary Education (B.S.), Bachelor’s,
,•  Business Administration (B.S.), Bachelor’s,
,•  Business Data Science (B.S.), Bachelor’s,
,•  Chemistry (B.S.), Bachelor’s,
,•  Chemistry Laboratory Science (B.S.), Bachelor’s,
,•  Chemistry Secondary Education (B.S.), Bachelor’s,
,•  Computational Physics (B.S.), Bachelor’s,
,•  Computer Engineering (B.S.), Bachelor’s,
,•  Computer Science (B.S.), Bachelor’s,
,•  Criminal Justice (B.A.), Bachelor’s,
,•  Data Science (B.S.), Bachelor’s,
,•  Digital Media Production (B.A.), Bachelor’s,
,•  Early Childhood Education (B.S.), Bachelor’s,
,•  Early Childhood Education with Special Education Certification (B.S.), Bachelor’s,
,•  Economics (B.A.), Bachelor’s,
,•  Elementary/Middle Level Education (B.S.), Bachelor’s,
,•  Engineering (B.S.), Bachelor’s,
,•  English (B.A.), Bachelor’s,
,•  English Secondary Education (B.A.), Bachelor’s,
,•  Environmental Science (B.S.), Bachelor’s,
,•  Exercise Science (B.S.), Bachelor’s,
,•  Finance (B.S.), Bachelor’s,
,•  Financial Economics (B.S.), Bachelor’s,
,•  French (B.A.), Bachelor’s,
,•  German (B.A.), Bachelor’s,
,•  Graphic Design (B.A.), Bachelor’s,
,•  Health Sciences (B.S.), Bachelor’s,
,•  History (B.A.), Bachelor’s,
,•  Individualized Major (B.A.), Bachelor’s,
,•  Information Systems (B.S.), Bachelor’s,
,•  International Business (B.S.), Bachelor’s,
,•  Japanese (B.A.), Bachelor’s,
,•  Journalism (B.A.), Bachelor’s,
,•  Legal Studies (B.A.), Bachelor’s,
,•  Marketing (B.S.), Bachelor’s,
,•  Mathematical Business (B.S.), Bachelor’s,
,•  Mathematics (B.S.), Bachelor’s,
,•  Mathematics - Secondary Education (B.S.), Bachelor’s,
,•  Media Analytics and Social Media (B.S.), Bachelor’s,
,•  Music (B.A.), Bachelor’s,
,•  Music Education (B.M.), Bachelor’s,
,•  Music Therapy (B.M.), Bachelor’s,
,•  Neuroscience (B.S.), Bachelor’s,
,•  Physics Secondary Education (B.S.), Bachelor’s,
,•  Political Science (B.A.), Bachelor’s,
,•  Psychology (B.A.), Bachelor’s,
,•  Public Health (B.A./B.S.), Bachelor’s,
,•  Public Relations (B.A.), Bachelor’s,
,•  Religious Studies (B.A.), Bachelor’s,
,•  Social Studies (B.S.), Bachelor’s,
,•  Social Work (B.S.W.), Bachelor’s,
,•  Sociology (B.A.), Bachelor’s,
,•  Spanish (B.A.), Bachelor’s,
,•  Spanish Education (B.A.), Bachelor’s,
,,•  Master of Education in Curriculum and Instruction (M.Ed.), Master’s,
,•  Master of Education in Special Education (M.Ed.), Master’s,
,•  Master of Music Education (M.M.E.), Master’s,
,•  Master of Organizational Analytics (M.S.), Master’s,
,•  Master of Physician Assistant Studies (M.P.A.S.), Master’s,
,•  Master of Public Policy (M.P.P.), Master’s,
,•  Master of Science in Occupational Therapy (M.S.), Master’s,
,,•  Occupational Therapy (OTD), Doctoral,
,,•  ESL Program Specialist K-12 Certificate, Certificates,
,•  Graduate Certificate in Curriculum and Instruction, Certificates,
,•  Graduate Certificate in ESL Program Specialist K-12, Certificates,
,•  Graduate Certificate in Integrative Science, Technology, Engineering, and Mathematics (STEM) Education Endorsement, Certificates,
,•  Graduate Certificate in Interdisciplinary Autism Support, Certificates,
,•  Graduate Certificate in Trauma Informed Practice, Certificates,
,•  Public Heritage Studies Certificate, Certificates,
,•  SAS Joint Certificate in Data Analytics, Certificates,
,•  TESOL (Teaching English as a Second or Other Language), Certificates,
,,•  Health Professions Advising, Advising Program,
,•  Pre-Law Advising Program, Advising Program,
,,•  Architectural Studies Minor, Minors,
,•  Art History Minor, Minors,
,•  Arts Administration Minor, Minors,
,•  Arts Minor, Minors,
,•  Asian Studies Minor, Minors,
,•  Biochemistry Minor, Minors,
,•  Biology Minor, Minors,
,•  Business Administration Minor, Minors,
,•  Chemistry Minor, Minors,
,•  Coaching Minor, Minors,
,•  Cognitive Science Minor, Minors,
,•  Communications Minor, Minors,
,•  Computer Science Minor, Minors,
,•  Creative Writing Minor, Minors,
,•  Data Analytics Minor, Minors,
,•  Economics Minor, Minors,
,•  English Literature Minor, Minors,
,•  English Professional Writing Minor, Minors,
,•  Family Business and Entrepreneurship Program, Minors,
,•  Finance Minor, Minors,
,•  French Minor, Minors,
,•  General Science Minor, Minors,
,•  German Minor, Minors,
,•  Graphic Design Minor, Minors,
,•  History Minor, Minors,
,•  Human Services Minor, Minors,
,•  Information Systems Minor, Minors,
,•  International Studies Minor, Minors,
,•  Japanese Minor, Minors,
,•  Mathematics Minor, Minors,
,•  Music Minor, Minors,
,•  Philosophy Minor, Minors,
,•  Physics Minor, Minors,
,•  Political Science Minor, Minors,
,•  Psychology Minor, Minors,
,•  Religious Studies Minor, Minors,
,•  Sociology Minor, Minors,
,•  Spanish Minor, Minors,
,•  Technical Design Minor, Minors,
,•  Women and Gender Studies Minor, Minors,
,,•  Doctor of Dental Medicine/Baccalaureate 4+4 Program with Lake Erie College of Osteopathic Medicine, Joint Degree Programs,
,•  Doctor of Dental Surgery/Baccalaureate 4+4 Program with West Virginia University School of Dentistry, Joint Degree Programs,
,•  Doctor of Optometry/B.S. 3+4 Program with Pennsylvania College of Optometry at Salus University, Joint Degree Programs,
,•  Doctor of Osteopathic Medicine/B.S. 3+4 or 4+4 Program with Lake Erie College of Osteopathic Medicine, Joint Degree Programs,
,•  Doctor of Pharmaceutical/B.S. 3+4 or 4+4 Program with Lake Erie College of Osteopathic Medicine, Joint Degree Programs,
,•  Doctor of Physical Therapy/B.S. 3+3 Program with Widener University, Joint Degree Programs,
,•  Doctor of Physical Therapy/B.S. 4+3 Program with Thomas Jefferson University, Joint Degree Programs,
,•  Law Early Admission Program (LEAP) with Drexel University Thomas R. Kline School of Law, Joint Degree Programs,
,•  Law Early Admission Program (LEAP) with Duquesne University School of Law, Joint Degree Programs,
,•  Law Early Admission Program (LEAP) with Widener University School of Law, Joint Degree Programs,
,•  Master of Public Health Program with Penn State University College of Medicine, Joint Degree Programs,
,•  Master of Science in Molecular Medicine/B.S. in Biotechnology 4+1 Program with Drexel University College of Medicine, Joint Degree Programs,
,•  Osteopathic Medicine/B.S. 3+4 or 4+4 Program with Philadelphia College of Osteopathic Medicine (Emphasis in Biology), Joint Degree Programs,
,•  Osteopathic Medicine/B.S. 3+4 or 4+4 Program with Philadelphia College of Osteopathic Medicine (Emphasis in Chemistry/Biochemistry), Joint Degree Programs,
,•  Premedical Primary Care Program with Pennsylvania State University College of Medicine, Joint Degree Programs,
